,Theme,FeatureVector,WordVector
Adi Shankara,People,[0.         0.00442478 0.00884956 ... 0.         0.         0.        ],"['adi', 'shankara', '8th', 'cent', 'ce', 'also', 'call', 'adi', 'shankaracharya', 'sanskrit', 'आदि', 'शङ्कर', 'आदि', 'शङ्कराचार्य', 'romanize', 'ādi', 'śaṅkarācāryaḥ', 'light', 'first', 'shankara', 'aːdɪ', 'ɕɐŋkɐraːtɕaːrjɐh', 'indian', 'vedic', 'scholar', 'teacher', 'acharya', 'whose', 'work', 'present', 'harmonize', 'reading', 'sastras', 'liberate', 'knowledge', 'self', 'core', 'synthesize', 'advaita', 'vedanta', 'teaching', 'time', 'due', 'later', 'fame', '300', 'text', 'attribute', 'name', 'include', 'commentary', 'bhāṣya', 'introductory', 'topical', 'exposition', 'prakaraṇa', 'grantha', 'poetry', 'stotra', 'however', 'likely', 'admirer', 'pretender', 'scholars', 'eponymous', 'name', 'authentic', 'brahmasutrabhasya', 'commentary', 'ten', 'mukhya', 'principal', 'upanishad', 'commentary', 'bhagavad', 'gita', 'upadesasahasri', 'authenticity', 'shankara', 'author', 'vivekacūḍāmaṇi', 'question', 'central', 'postulation', 'shankara', 'writing', 'identity', 'self', 'ātman', 'brahman', 'defend', 'liberate', 'knowledge', 'self', 'take', 'upanishads', 'independent', 'mean', 'knowledge', 'ritually', 'orient', 'mīmāṃsā', 'school', 'hinduism', 'shankara', 'advaita', 'show', 'influence', 'mahayana', 'buddhism', 'despite', 'shankara', 'critique', 'hindu', 'vaishnavist', 'opponent', 'even', 'accuse', 'shankara', 'crypto', 'buddhist', 'qualification', 'reject', 'advaita', 'vedanta', 'tradition', 'highlight', 'respective', 'view', 'atman', 'anatta', 'brahman', 'shankara', 'unparallelled', 'status', 'tradition', 'advaita', 'vedanta', 'influence', 'hindu', 'intellectual', 'thought', 'question', '10th', 'century', 'shankara', 'overshadow', 'old', 'contemporary', 'mandana', 'misra', 'mention', 'concur', 'hindu', 'buddhist', 'jain', 'source', '11th', 'century', 'popular', 'image', 'shankara', 'start', 'take', 'shape', '14th', 'century', 'century', 'death', 'sringeri', 'matha', 'start', 'receive', 'patronage', 'king', 'vijayanagara', 'empire', 'shift', 'allegiance', 'advaitic', 'agamic', 'saivism', 'brahmanical', 'advaita', 'orthodoxy', 'hagiography', 'date', '14th', '17th', 'century', 'deify', 'ruler', 'renunciate', 'travel', 'digvijaya', 'conquest', 'four', 'quarter', 'across', 'indian', 'subcontinent', 'propagate', 'philosophy', 'defeat', 'opponent', 'theological', 'debate', 'hagiography', 'portray', 'found', 'four', 'mathas', 'monastery', 'adi', 'shankara', 'also', 'come', 'regard', 'organiser', 'dashanami', 'monastic', 'order', 'unifier', 'shanmata', 'tradition', 'worship']"
Adolescence,Everyday life,[0.         0.02739726 0.         ... 0.         0.         0.        ],"['adolescence', 'latin', 'adolescere', 'mature', 'transitional', 'stage', 'physical', 'psychological', 'development', 'generally', 'occur', 'period', 'puberty', 'adulthood', 'typically', 'corresponding', 'age', 'majority', 'adolescence', 'usually', 'associate', 'teenage', 'year', 'physical', 'psychological', 'cultural', 'expression', 'may', 'begin', 'early', 'end', 'later', 'puberty', 'typically', 'begin', 'preadolescence', 'particularly', 'females', 'physical', 'growth', 'particularly', 'male', 'cognitive', 'development', 'extend', 'early', '20', 'age', 'provide', 'rough', 'marker', 'adolescence', 'scholar', 'agree', 'upon', 'precise', 'definition', 'traditionally', 'include', 'age', '10', '19', 'expansive', 'definition', 'include', 'age', '10', '24', 'account', 'comprehensive', 'understanding', 'phase', 'life']"
Adolf Hitler,People,[0.         0.         0.00238663 ... 0.         0.         0.        ],"['adolf', 'hitler', 'german', 'ˈadoːlf', 'ˈhɪt', 'lɐ', 'listen', '20', 'april', '1889', '–', '30', 'april', '1945', 'austrian', 'born', 'german', 'politician', 'lead', 'germany', '1933', 'death', '1945', 'rise', 'power', 'leader', 'nazi', 'party', 'become', 'chancellor', '1933', 'assume', 'title', 'führer', 'und', 'reichskanzler', '1934', 'dictatorship', 'initiated', 'world', 'war', 'ii', 'europe', 'invade', 'poland', '1', 'september', '1939', 'closely', 'involved', 'military', 'operation', 'throughout', 'war', 'central', 'perpetration', 'holocaust', 'genocide', 'six', 'million', 'jew', 'million', 'victim', 'hitler', 'born', 'austria', 'hungary', 'raise', 'near', 'linz', 'live', 'vienna', 'later', 'first', 'decade', '1900s', 'move', 'germany', '1913', 'decorate', 'service', 'german', 'army', 'world', 'war', '1919', 'joined', 'german', 'worker', 'party', 'dap', 'precursor', 'nazi', 'party', 'appoint', 'leader', 'nazi', 'party', '1921', '1923', 'attempt', 'seize', 'governmental', 'power', 'fail', 'coup', 'munich', 'imprison', 'sentence', 'five', 'year', 'jail', 'dictate', 'first', 'volume', 'autobiography', 'political', 'manifesto', 'mein', 'kampf', 'struggle', 'early', 'release', '1924', 'hitler', 'gain', 'popular', 'support', 'attack', 'treaty', 'versailles', 'promote', 'pan', 'germanism', 'anti', 'semitism', 'anti', 'communism', 'charismatic', 'oratory', 'nazi', 'propaganda', 'frequently', 'denounce', 'international', 'capitalism', 'communism', 'part', 'jewish', 'conspiracy', 'november', '1932', 'nazi', 'party', 'hold', 'seats', 'german', 'reichstag', 'majority', 'result', 'party', 'able', 'form', 'majority', 'parliamentary', 'coalition', 'support', 'candidate', 'chancellor', 'former', 'chancellor', 'franz', 'von', 'papen', 'conservative', 'leader', 'persuade', 'president', 'paul', 'von', 'hindenburg', 'appoint', 'hitler', 'chancellor', '30', 'january', '1933', 'shortly', 'reichstag', 'pass', 'enable', 'act', '1933', 'begin', 'process', 'transform', 'weimar', 'republic', 'nazi', 'germany', 'one', 'party', 'dictatorship', 'base', 'totalitarian', 'autocratic', 'ideology', 'nazism', '2', 'august', '1934', 'hindenburg', 'die', 'hitler', 'replace', 'head', 'state', 'government', 'hitler', 'aim', 'eliminate', 'jew', 'germany', 'establish', 'new', 'order', 'counter', 'saw', 'injustice', 'post', 'world', 'war', 'international', 'order', 'dominate', 'britain', 'france', 'first', 'six', 'year', 'power', 'result', 'rapid', 'economic', 'recovery', 'great', 'depression', 'abrogation', 'restriction', 'impose', 'germany', 'world', 'war', 'annexation', 'territory', 'inhabit', 'million', 'ethnic', 'german', 'initially', 'give', 'significant', 'popular', 'support', 'hitler', 'seek', 'lebensraum', 'lit', 'live', 'space', 'german', 'people', 'eastern', 'europe', 'aggressive', 'foreign', 'policy', 'consider', 'primary', 'cause', 'world', 'war', 'ii', 'europe', 'direct', 'large', 'scale', 'rearmament', '1', 'september', '1939', 'invade', 'poland', 'result', 'britain', 'france', 'declare', 'war', 'germany', 'june', '1941', 'hitler', 'order', 'invasion', 'soviet', 'union', 'end', '1941', 'german', 'force', 'european', 'axis', 'power', 'occupy', 'europe', 'north', 'africa', 'gain', 'gradually', 'reverse', '1941', '1945', 'allied', 'army', 'defeated', 'german', 'army', '29', 'april', '1945', 'marry', 'longtime', 'lover', 'eva', 'braun', 'führerbunker', 'berlin', 'less', 'two', 'day', 'later', 'couple', 'committed', 'suicide', 'avoid', 'capture', 'soviet', 'red', 'army', 'corps', 'burn', 'historian', 'biographer', 'ian', 'kershaw', 'describe', 'hitler', 'embodiment', 'modern', 'political', 'evil', 'hitler', 'leadership', 'racially', 'motivate', 'ideology', 'nazi', 'regime', 'responsible', 'genocide', 'six', 'million', 'jew', 'million', 'victim', 'follower', 'deem', 'untermenschen', 'subhumans', 'socially', 'undesirable', 'hitler', 'nazi', 'regime', 'also', 'responsible', 'kill', 'estimate', '19', '3', 'million', 'civilian', 'prisoner', 'war', 'addition', '28', '7', 'million', 'soldier', 'civilian', 'die', 'result', 'military', 'action', 'european', 'theatre', 'number', 'civilian', 'kill', 'world', 'war', 'ii', 'unprecedented', 'warfare', 'casualty', 'constitute', 'deadly', 'conflict', 'history']"
Adult,Everyday life,[0. 0. 0. ... 0. 0. 0.],"['biologically', 'adult', 'organism', 'reach', 'sexual', 'maturity', 'human', 'context', 'term', 'adult', 'meaning', 'associate', 'social', 'legal', 'concept', 'contrast', 'minor', 'legal', 'adult', 'person', 'attain', 'age', 'majority', 'therefore', 'regard', 'independent', 'self', 'sufficient', 'responsible', 'typical', 'age', 'attain', 'legal', 'adulthood', '18', 'although', 'definition', 'may', 'vary', 'legal', 'right', 'country', 'psychological', 'development', 'human', 'adulthood', 'encompasses', 'psychological', 'adult', 'development', 'definition', 'adulthood', 'often', 'inconsistent', 'contradictory', 'person', 'may', 'biologically', 'adult', 'adult', 'behavior', 'still', 'treat', 'child', 'legal', 'age', 'majority', 'conversely', 'one', 'may', 'legally', 'adult', 'posse', 'none', 'maturity', 'responsibility', 'may', 'define', 'adult', 'character', 'different', 'culture', 'event', 'relate', 'pass', 'child', 'become', 'adult', 'come', 'age', 'often', 'encompass', 'pass', 'series', 'test', 'demonstrate', 'person', 'prepared', 'adulthood', 'reach', 'specify', 'age', 'sometimes', 'conjunction', 'demonstrate', 'preparation', 'modern', 'society', 'determine', 'legal', 'adulthood', 'base', 'reach', 'legally', 'specify', 'age', 'without', 'require', 'demonstration', 'physical', 'maturity', 'preparation', 'adulthood']"
Aesthetics,Philosophy and religion,[0.008 0.    0.008 ... 0.    0.    0.   ],"['aesthetic', 'esthetic', 'branch', 'philosophy', 'deal', 'nature', 'beauty', 'taste', 'well', 'philosophy', 'art', 'area', 'philosophy', 'come', 'aesthetic', 'examines', 'aesthetic', 'value', 'often', 'express', 'judgment', 'taste', 'aesthetic', 'cover', 'natural', 'artificial', 'source', 'experience', 'form', 'judgment', 'source', 'considers', 'happen', 'mind', 'engage', 'object', 'environment', 'view', 'visual', 'art', 'listen', 'music', 'reading', 'poetry', 'experience', 'play', 'watch', 'fashion', 'show', 'movie', 'sport', 'even', 'explore', 'various', 'aspect', 'nature', 'philosophy', 'art', 'specifically', 'study', 'artists', 'imagine', 'create', 'perform', 'work', 'art', 'well', 'people', 'use', 'enjoy', 'criticize', 'art', 'aesthetic', 'considers', 'people', 'like', 'work', 'art', 'others', 'well', 'art', 'affect', 'mood', 'even', 'beliefs', 'aesthetic', 'philosophy', 'art', 'ask', 'question', 'like', 'art', 'work', 'art', 'make', 'good', 'art', 'scholar', 'field', 'define', 'aesthetic', 'critical', 'reflection', 'art', 'culture', 'nature', 'modern', 'english', 'term', 'aesthetic', 'also', 'refer', 'set', 'principle', 'underlie', 'work', 'particular', 'art', 'movement', 'theory', 'one', 'speak', 'example', 'renaissance', 'aesthetic']"
Africa,Geography,[0.         0.01327434 0.00442478 ... 0.         0.         0.        ],"['africa', 'world', 'second', 'large', 'second', 'populous', 'continent', 'asia', 'case', '30', '3', 'million', 'km2', '11', '7', 'million', 'square', 'mile', 'include', 'adjacent', 'island', 'cover', '6', 'earth', 'total', 'surface', 'area', '20', 'land', 'area', '1', '4', 'billion', 'people', '2021', 'account', '18', 'world', 'human', 'population', 'africa', 'population', 'young', 'amongst', 'continent', 'median', 'age', '2012', '19', '7', 'worldwide', 'median', 'age', '30', '4', 'despite', 'wide', 'range', 'natural', 'resource', 'africa', 'least', 'wealthy', 'continent', 'per', 'capita', 'second', 'least', 'wealthy', 'total', 'wealth', 'behind', 'oceania', 'scholar', 'attribute', 'different', 'factor', 'include', 'geography', 'climate', 'tribalism', 'colonialism', 'cold', 'war', 'neocolonialism', 'lack', 'democracy', 'corruption', 'despite', 'low', 'concentration', 'wealth', 'recent', 'economic', 'expansion', 'large', 'young', 'population', 'make', 'africa', 'important', 'economic', 'market', 'broader', 'global', 'context', 'continent', 'surround', 'mediterranean', 'sea', 'north', 'isthmus', 'suez', 'red', 'sea', 'northeast', 'indian', 'ocean', 'southeast', 'atlantic', 'ocean', 'west', 'continent', 'include', 'madagascar', 'various', 'archipelago', 'contain', '54', 'fully', 'recognise', 'sovereign', 'state', 'country', 'eight', 'territory', 'two', 'de', 'facto', 'independent', 'state', 'limit', 'recognition', 'algeria', 'africa', 'large', 'country', 'area', 'nigeria', 'large', 'population', 'african', 'nation', 'cooperate', 'establishment', 'african', 'union', 'headquarter', 'addis', 'ababa', 'africa', 'straddle', 'equator', 'prime', 'meridian', 'continent', 'stretch', 'northern', 'temperate', 'southern', 'temperate', 'zone', 'majority', 'continent', 'country', 'northern', 'hemisphere', 'substantial', 'portion', 'number', 'country', 'southern', 'hemisphere', 'continent', 'lie', 'tropic', 'except', 'large', 'part', 'western', 'sahara', 'algeria', 'libya', 'egypt', 'northern', 'tip', 'mauritania', 'entire', 'territory', 'morocco', 'ceuta', 'melilla', 'tunisia', 'turn', 'locate', 'tropic', 'cancer', 'northern', 'temperate', 'zone', 'extreme', 'continent', 'southern', 'namibia', 'southern', 'botswana', 'great', 'part', 'south', 'africa', 'entire', 'territory', 'lesotho', 'eswatini', 'southern', 'tip', 'mozambique', 'madagascar', 'locate', 'tropic', 'capricorn', 'southern', 'temperate', 'zone', 'africa', 'highly', 'biodiverse', 'continent', 'large', 'number', 'megafauna', 'specie', 'least', 'affected', 'extinction', 'pleistocene', 'megafauna', 'however', 'africa', 'also', 'heavily', 'affect', 'wide', 'range', 'environmental', 'issue', 'include', 'desertification', 'deforestation', 'water', 'scarcity', 'pollution', 'issue', 'entrench', 'environmental', 'concern', 'expect', 'worsen', 'climate', 'change', 'impact', 'africa', 'un', 'intergovernmental', 'panel', 'climate', 'change', 'identify', 'africa', 'continent', 'vulnerable', 'climate', 'change', 'history', 'africa', 'long', 'complex', 'often', 'appreciate', 'global', 'historical', 'community', 'africa', 'particularly', 'eastern', 'africa', 'widely', 'accept', 'place', 'origin', 'human', 'hominidae', 'clade', 'great', 'ape', 'early', 'hominid', 'ancestor', 'date', 'around', '7', 'million', 'year', 'ago', 'include', 'sahelanthropus', 'tchadensis', 'australopithecus', 'africanus', 'afarensis', 'homo', 'erectus', 'h', 'habilis', 'h', 'ergaster—', 'early', 'homo', 'sapiens', 'modern', 'human', 'remain', 'find', 'ethiopia', 'south', 'africa', 'morocco', 'date', 'circa', '233', '000', '259', '000', '300', '000', 'year', 'ago', 'respectively', 'homo', 'sapiens', 'believe', 'originated', 'africa', 'around', '350', '000–260', '000', 'year', 'ago', 'due', 'long', 'inhabited', 'continent', 'africa', 'also', 'consider', 'anthropologist', 'genetically', 'diverse', 'continent', 'planet', 'early', 'human', 'civilization', 'ancient', 'egypt', 'carthage', 'emerge', 'north', 'africa', 'follow', 'subsequent', 'long', 'complex', 'history', 'civilization', 'migration', 'trade', 'africa', 'host', 'large', 'diversity', 'ethnicity', 'culture', 'language', 'last', '400', 'year', 'witness', 'increase', 'european', 'influence', 'continent', 'start', '16th', 'century', 'drive', 'trade', 'include', 'trans', 'atlantic', 'slave', 'trade', 'create', 'large', 'african', 'diaspora', 'population', 'americas', 'late', '19th', 'century', 'early', '20th', 'century', 'european', 'nation', 'colonize', 'almost', 'africa', 'exception', 'ethiopia', 'liberia', 'though', 'ethiopia', 'would', 'later', 'invade', 'occupy', 'italy', '1936', '1941', 'present', 'state', 'africa', 'emerged', 'process', 'decolonisation', 'follow', 'world', 'war', 'ii']"
Afterlife,Philosophy and religion,[0.         0.         0.00833333 ... 0.         0.         0.        ],"['afterlife', 'also', 'refer', 'life', 'death', 'purport', 'existence', 'essential', 'part', 'individual', 'identity', 'stream', 'consciousness', 'continue', 'live', 'death', 'physical', 'body', 'accord', 'various', 'idea', 'afterlife', 'essential', 'aspect', 'individual', 'life', 'death', 'may', 'partial', 'element', 'entire', 'soul', 'spirit', 'individual', 'carry', 'may', 'confer', 'personal', 'identity', 'contrary', 'nirvana', 'belief', 'afterlife', 'contrast', 'belief', 'oblivion', 'death', 'view', 'continue', 'existence', 'take', 'place', 'spiritual', 'realm', 'popular', 'view', 'individual', 'may', 'reborn', 'world', 'begin', 'life', 'cycle', 'likely', 'memory', 'do', 'past', 'latter', 'view', 'rebirth', 'death', 'may', 'take', 'place', 'continuously', 'individual', 'gain', 'entry', 'spiritual', 'realm', 'otherworld', 'major', 'view', 'afterlife', 'derive', 'religion', 'esotericism', 'metaphysics', 'belief', 'system', 'abrahamic', 'tradition', 'hold', 'dead', 'go', 'specific', 'place', 'death', 'determine', 'god', 'divine', 'judgment', 'base', 'action', 'beliefs', 'life', 'contrast', 'system', 'reincarnation', 'indian', 'religion', 'nature', 'continue', 'existence', 'determine', 'directly', 'action', 'individual', 'end', 'life']"
Age of Discovery,History,[0.         0.00390625 0.0078125  ... 0.         0.         0.        ],"['age', 'discovery', 'age', 'exploration', 'also', 'know', 'early', 'modern', 'period', 'period', 'largely', 'overlapping', 'age', 'sail', 'approximately', '15th', 'century', '17th', 'century', 'european', 'history', 'seafaring', 'european', 'explore', 'region', 'across', 'globe', 'extensive', 'overseas', 'exploration', 'portuguese', 'spanish', 'forefront', 'later', 'join', 'dutch', 'english', 'french', 'emerge', 'powerful', 'factor', 'european', 'culture', 'notably', 'european', 'encounter', 'colonization', 'america', 'also', 'mark', 'increase', 'adoption', 'colonialism', 'government', 'policy', 'several', 'european', 'state', 'sometimes', 'synonymous', 'first', 'wave', 'european', 'colonization', 'european', 'exploration', 'outside', 'mediterranean', 'start', 'maritime', 'expedition', 'portugal', 'canary', 'island', '1336', 'later', 'portuguese', 'discovery', 'atlantic', 'archipelago', 'madeira', 'azores', 'coast', 'west', 'africa', '1434', 'establishment', 'sea', 'route', 'india', '1498', 'vasco', 'da', 'gama', 'often', 'consider', 'remarkable', 'voyage', 'initiate', 'portuguese', 'maritime', 'trade', 'presence', 'kerala', 'indian', 'ocean', 'main', 'event', 'age', 'discovery', 'take', 'place', 'spain', 'sponsor', 'transatlantic', 'voyage', 'christopher', 'columbus', '1492', '1504', 'saw', 'begin', 'colonization', 'america', 'year', 'later', 'spanish', 'expedition', 'magellan–elcano', 'expedition', 'make', 'first', 'circumnavigation', 'globe', '1519', '1522', 'regard', 'major', 'achievement', 'seamanship', 'significant', 'impact', 'european', 'understanding', 'world', 'discoveries', 'lead', 'numerous', 'naval', 'expedition', 'across', 'atlantic', 'indian', 'pacific', 'ocean', 'land', 'expedition', 'americas', 'asia', 'africa', 'australia', 'continue', 'late', '19th', 'century', 'follow', 'exploration', 'polar', 'region', '20th', 'century', 'european', 'overseas', 'exploration', 'lead', 'rise', 'international', 'trade', 'european', 'colonial', 'empire', 'contact', 'old', 'world', 'europe', 'asia', 'africa', 'new', 'world', 'america', 'well', 'australia', 'produce', 'columbian', 'exchange', 'wide', 'transfer', 'plant', 'animal', 'food', 'human', 'population', 'include', 'slave', 'communicable', 'disease', 'culture', 'eastern', 'western', 'hemisphere', 'age', 'discovery', 'later', 'european', 'exploration', 'allow', 'mapping', 'world', 'result', 'new', 'worldview', 'distant', 'civilization', 'come', 'contact', 'time', 'new', 'disease', 'propagate', 'decimate', 'population', 'previously', 'contact', 'old', 'world', 'particularly', 'concern', 'native', 'american', 'era', 'saw', 'widespread', 'enslavement', 'exploitation', 'military', 'conquest', 'native', 'population', 'concurrent', 'grow', 'economic', 'influence', 'spread', 'european', 'culture', 'technology']"
Age of Enlightenment,History,[0.         0.00943396 0.00471698 ... 0.         0.         0.        ],"['age', 'enlightenment', 'simply', 'enlightenment', 'intellectual', 'philosophical', 'movement', 'dominate', 'europe', '17th', '18th', 'century', 'global', 'influence', 'effect', 'enlightenment', 'include', 'range', 'idea', 'center', 'value', 'human', 'happiness', 'pursuit', 'knowledge', 'obtain', 'mean', 'reason', 'evidence', 'sens', 'ideal', 'liberty', 'progress', 'toleration', 'fraternity', 'constitutional', 'government', 'separation', 'church', 'state', 'enlightenment', 'precede', 'scientific', 'revolution', 'work', 'francis', 'bacon', 'among', 'others', 'date', 'begin', 'enlightenment', 'back', 'publication', 'rené', 'descartes', 'discourse', 'method', '1637', 'feature', 'famous', 'dictum', 'cogito', 'ergo', 'sum', 'think', 'therefore', 'others', 'cite', 'publication', 'isaac', 'newton', 'principia', 'mathematica', '1687', 'culmination', 'scientific', 'revolution', 'begin', 'enlightenment', 'european', 'historian', 'traditionally', 'date', 'begin', 'death', 'louis', 'xiv', 'france', '1715', 'end', '1789', 'outbreak', 'french', 'revolution', 'many', 'historian', 'date', 'end', 'enlightenment', 'start', '19th', 'century', 'late', 'propose', 'year', 'death', 'immanuel', 'kant', '1804', 'philosopher', 'scientist', 'period', 'widely', 'circulate', 'ideas', 'meeting', 'scientific', 'academy', 'masonic', 'lodge', 'literary', 'salon', 'coffeehouse', 'print', 'book', 'journal', 'pamphlet', 'ideas', 'enlightenment', 'undermine', 'authority', 'monarchy', 'catholic', 'church', 'pave', 'way', 'political', 'revolution', '18th', '19th', 'century', 'variety', '19th', 'century', 'movement', 'include', 'liberalism', 'communism', 'neoclassicism', 'trace', 'intellectual', 'heritage', 'enlightenment', 'central', 'doctrine', 'enlightenment', 'individual', 'liberty', 'religious', 'tolerance', 'opposition', 'absolute', 'monarchy', 'fix', 'dogmas', 'church', 'principle', 'sociability', 'utility', 'also', 'play', 'important', 'role', 'circulate', 'knowledge', 'useful', 'improvement', 'society', 'large', 'enlightenment', 'mark', 'increase', 'awareness', 'relationship', 'mind', 'everday', 'medium', 'world', 'emphasis', 'scientific', 'method', 'reductionism', 'along', 'increase', 'question', 'religious', 'orthodoxy—an', 'attitude', 'capture', 'immanuel', 'kant', 'essay', 'answer', 'question', 'enlightenment', 'phrase', 'sapere', 'aude', 'dare', 'know', 'find']"
Ageing,"Health, medicine and disease",[0.         0.00675676 0.         ... 0.         0.         0.        ],"['age', 'age', 'ae', 'process', 'become', 'old', 'term', 'refers', 'mainly', 'humans', 'many', 'animal', 'fungi', 'whereas', 'example', 'bacteria', 'perennial', 'plant', 'simple', 'animal', 'potentially', 'biologically', 'immortal', 'broad', 'sens', 'age', 'refer', 'single', 'cell', 'within', 'organism', 'cease', 'divide', 'population', 'specie', 'humans', 'age', 'represent', 'accumulation', 'change', 'human', 'time', 'encompass', 'physical', 'psychological', 'social', 'change', 'reaction', 'time', 'example', 'may', 'slow', 'age', 'memory', 'general', 'knowledge', 'typically', 'increase', 'age', 'increase', 'risk', 'human', 'diseases', 'cancer', 'alzheimer', 'disease', 'diabetes', 'cardiovascular', 'disease', 'stroke', 'many', 'roughly', '150', '000', 'people', 'die', 'day', 'across', 'globe', 'two', 'third', 'die', 'age', 'related', 'cause', 'current', 'age', 'theory', 'assign', 'damage', 'concept', 'whereby', 'accumulation', 'damage', 'dna', 'oxidation', 'may', 'cause', 'biological', 'system', 'fail', 'program', 'age', 'concept', 'whereby', 'internal', 'process', 'epigenetic', 'maintenance', 'dna', 'methylation', 'inherently', 'may', 'cause', 'age', 'programmed', 'age', 'confuse', 'programmed', 'cell', 'death', 'apoptosis', 'obesity', 'propose', 'accelerate', 'age', 'whereas', 'dietary', 'calorie', 'restriction', 'non', 'primate', 'animal', 'slow', 'age', 'maintain', 'good', 'health', 'body', 'function', 'primates', 'include', 'human', 'life', 'extend', 'effect', 'remain', 'uncertain']"
